TimeStamp,V10_0,V10_1,V10_2,V10_3,V10_4,V10_5,V50_0,V50_1,V50_2,V50_3,V50_4,V50_5,V100_0,V100_1,V100_2,V100_3,V100_4,V100_5,V200_0,V200_1,V200_2,V200_3,V200_4,V200_5,V250_0,V250_1,V250_2,V250_3,V250_4,V250_5
39,0.000134558,-0.940852249,-0.70447164,-0.27337896,0.000305126,4.26E-13,-0.003975576,-0.716319578,-0.877715864,-0.297078958,0.00038509,0.000111451,-0.014574753,-0.92794908,-0.947948272,-0.246688646,0.002567371,-0.069276354,0.020867957,0.230889291,-0.795903429,-0.325548677,-0.000427165,0.138552694,0.024587589,0.616903619,-0.789767106,-0.38044488,-0.003771322,0.207829036
40,0.000135301,-0.941146864,-0.70849998,-0.273377776,0.000306692,4.26E-13,-0.004733172,-0.703915358,-0.876816768,-0.297375298,0.000390007,0.000111451,-0.013573672,-0.91203409,-0.944896648,-0.245944495,0.00269345,-0.069276352,0.017666101,0.287403587,-0.7969611,-0.331532984,-0.000722391,0.13855269,0.025685018,0.639830152,-0.792240071,-0.38409066,-0.004002251,0.207829039
41,0.000136039,-0.94141832,-0.71249997,-0.273376588,0.000308258,4.25E-13,-0.005404045,-0.692587489,-0.875597652,-0.297665749,0.000394367,0.000111451,-0.012333806,-0.891329231,-0.940848425,-0.244979574,0.00285728,-0.06927635,0.016203649,0.335413934,-0.797071987,-0.336524574,-0.000967594,0.138552689,0.026469257,0.652077265,-0.793480551,-0.386016983,-0.004123992,0.207829041
42,0.000136771,-0.941666494,-0.716471416,-0.273375395,0.000309824,4.25E-13,-0.005988438,-0.682444317,-0.874207241,-0.297940545,0.000398175,0.000111451,-0.0109019,-0.865784266,-0.93573279,-0.243794453,0.003059077,-0.069276348,0.015881987,0.375093448,-0.796598472,-0.340575129,-0.00116491,0.138552689,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
43,0.000137497,-0.941891266,-0.720414124,-0.273374198,0.00031139,4.25E-13,-0.006486961,-0.673579839,-0.872775511,-0.298191262,0.000401435,0.000111451,-0.009337403,-0.835345862,-0.929463614,-0.242390734,0.003299008,-0.069276346,0.016207207,0.40664952,-0.795844,-0.34374172,-0.001317567,0.13855269,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
44,0.000138218,-0.942092514,-0.724327903,-0.273372996,0.000312956,4.24E-13,-0.006900433,-0.666073957,-0.871413655,-0.298410778,0.000404148,0.000111451,-0.007713386,-0.799962798,-0.921940027,-0.240771587,0.003577126,-0.069276344,0.016791777,0.430289091,-0.795052442,-0.346079002,-0.001429058,0.138552692,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
45,0.000138932,-0.94227012,-0.72821256,-0.273371791,0.000314522,4.24E-13,-0.007229743,-0.659992747,-0.870214123,-0.298593235,0.000406316,0.000111451,-0.006117291,-0.759592179,-0.913047152,-0.238942391,0.003893308,-0.069276342,0.01735067,0.446191852,-0.794407976,-0.347633302,-0.001502528,0.138552693,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
46,0.000139641,-0.942423965,-0.732067908,-0.273370581,0.000316088,4.24E-13,-0.007475739,-0.655388704,-0.869250692,-0.298734,0.000407941,0.000111451,-0.004651352,-0.714206653,-0.902656994,-0.236911452,0.004247171,-0.06927634,0.01769552,0.454490694,-0.794035221,-0.34843838,-0.001540346,0.138552694,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
47,0.000140344,-0.942553932,-0.735893758,-0.273369367,0.000317654,4.23E-13,-0.007639136,-0.652300967,-0.868578566,-0.298829636,0.000409023,0.000111451,-0.003432476,-0.663802604,-0.890629536,-0.234690791,0.004637994,-0.069276338,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0
48,0.000141041,-0.942659905,-0.739689924,-0.273368148,0.00031922,4.23E-13,-0.007720445,-0.650755498,-0.868234452,-0.298877866,0.000409562,0.000111451,-0.002591343,-0.608409311,-0.876814045,-0.232296992,0.005064628,-0.069276338,-2.62E-17,0.058764751,-0.79449649,-0.272950071,0.003654285,0,0.000228381,0.07508029,-0.789479485,-0.277525867,0.003454352,0.005033364
