TimeStamp,W01,W02,W03,W1_0,W1_1,W1_2,W1_3,W1_4,W1_5,W2_0,W2_1,W2_2,W2_3,W2_4,W2_5,W3_0,W3_1,W3_2,W3_3,W3_4,W3_5
11,-0.3368828,-0.345757961,-0.33611837,-0.3368828,0.9411273,1.406905532,1.021151066,-0.386371166,-0.155746683,-0.345757961,1.105287671,1.619190216,1.274002075,-0.482763469,-0.146789715,-0.33611837,1.271544337,1.814175725,1.512937427,-0.737807214,-0.166549534
12,-0.365823418,-0.340164959,-0.392018497,-0.365823418,0.852117658,1.383246899,0.959296465,-0.386474788,-0.154403299,-0.340164959,1.122843981,1.635817409,1.239633799,-0.478214353,-0.134393826,-0.392018497,1.169119716,1.749681234,1.604600191,-0.697437227,-0.170208126
13,-0.329357535,-0.353200376,-0.225315705,-0.329357535,0.861458182,1.334348321,0.993581653,-0.345437348,-0.143643424,-0.353200376,1.014330268,1.576875806,1.216312408,-0.493845403,-0.144952312,-0.225315705,1.210013628,1.931814194,1.804948926,-0.660053134,-0.170139313
14,-0.299156845,-0.327236801,-0.326143891,-0.299156845,0.872275889,1.40495193,1.027235985,-0.341236144,-0.13214615,-0.327236801,1.038873196,1.520129204,1.273856878,-0.469468862,-0.122747988,-0.326143891,1.230638385,1.904756188,1.637538433,-0.743101656,-0.161584437
15,-0.334201366,-0.315501302,-0.418205142,-0.334201366,0.856473148,1.322916746,1.032298684,-0.411368132,-0.148084447,-0.315501302,1.042212248,1.643821239,1.302367687,-0.443447441,-0.136008024,-0.418205142,1.13686049,1.712507606,1.55521524,-0.761264324,-0.171925291
16,-0.289603084,-0.313943118,-0.269732177,-0.289603084,0.920140505,1.331958532,1.002499342,-0.39224267,-0.157673448,-0.313943118,0.985406399,1.550376534,1.290913343,-0.473998368,-0.137580201,-0.269732177,1.202464223,1.836744189,1.667698145,-0.768549263,-0.184749633
17,-0.333208859,-0.287524045,-0.262423217,-0.333208859,0.927353263,1.412117481,0.981826901,-0.434621274,-0.157757193,-0.287524045,1.019936085,1.541939378,1.269898057,-0.493604243,-0.144113854,-0.262423217,1.268095136,1.892241716,1.676725745,-0.714146256,-0.150841698
18,-0.323637068,-0.324806184,-0.335933983,-0.323637068,0.90057683,1.365031362,0.943529725,-0.358570576,-0.152930796,-0.324806184,1.069486141,1.620269418,1.289253235,-0.52577728,-0.13912265,-0.335933983,1.19938767,1.695960879,1.65921545,-0.797236681,-0.15503253
19,-0.328492641,-0.324966013,-0.320052713,-0.328492641,0.855800927,1.328063011,1.011799335,-0.38466385,-0.156813845,-0.324966013,1.024902701,1.584648252,1.229405522,-0.499670088,-0.119136594,-0.320052713,1.16508913,1.715260506,1.693836808,-0.736596465,-0.167889804
20,-0.372040749,-0.333949953,-0.268043518,-0.372040749,0.854912698,1.363210559,1.062523484,-0.383777976,-0.153436095,-0.333949953,0.995013475,1.496493101,1.302763343,-0.509932339,-0.133551568,-0.268043518,1.167986035,1.811585069,1.711621284,-0.675344169,-0.17854853
21,-0.313565016,-0.362660646,-0.309411168,-0.313565016,0.834652424,1.30162251,1.044839263,-0.404468149,-0.177450851,-0.362660646,1.012475014,1.586431265,1.400812864,-0.537409961,-0.133555889,-0.309411168,1.06757462,1.695730209,1.65218997,-0.783682346,-0.184708267
22,-0.317012548,-0.324327767,-0.346073449,-0.317012548,0.838983774,1.278567076,1.043699026,-0.427921981,-0.169415295,-0.324327767,0.967753708,1.560447693,1.347163677,-0.511322141,-0.141716063,-0.346073449,1.052481055,1.624452472,1.551559329,-0.768283486,-0.163013399
23,-0.350444734,-0.294890821,-0.283855498,-0.350444734,0.917918682,1.348127723,1.054393649,-0.430517346,-0.133654207,-0.294890821,0.981597602,1.448776245,1.33186543,-0.54503572,-0.141839638,-0.283855498,1.097667098,1.746726632,1.768857718,-0.719887674,-0.16390799
24,-0.317608505,-0.327003837,-0.269604385,-0.317608505,0.875486434,1.25584054,1.014979362,-0.371301532,-0.127766132,-0.327003837,1.044372678,1.55252552,1.348853827,-0.576505303,-0.154991537,-0.269604385,1.146366358,1.731879473,1.805612803,-0.683271945,-0.176545516
25,-0.329968303,-0.294111192,-0.295321822,-0.329968303,0.83974725,1.300084472,1.041567564,-0.433549523,-0.144845888,-0.294111192,1.043577075,1.519525051,1.337213635,-0.489275426,-0.109317243,-0.295321822,1.095603704,1.673480749,1.672654152,-0.756107688,-0.183814198
26,-0.320560336,-0.330898494,-0.237878352,-0.320560336,0.835915625,1.328341484,1.051203489,-0.441701919,-0.153353959,-0.330898494,0.964791954,1.492417097,1.298775554,-0.510980666,-0.12866351,-0.237878352,1.138818145,1.590020061,1.640712023,-0.785544932,-0.195597351
27,-0.362019837,-0.361634254,-0.236052856,-0.362019837,0.74876821,1.223905206,0.989691019,-0.432360768,-0.168805301,-0.361634254,0.986843884,1.51207757,1.320013881,-0.554831684,-0.131985009,-0.236052856,1.17246294,1.686515212,1.671147108,-0.716257274,-0.200663403
